Publication_Year,Region,Country,Category,Store_Types,RMS_Coverage_Type,Channel_Contribution,
2023,MEANAP,Algeria,Diapers and Wipes,Hypermrkts,%Covered,4%,
2023,MEANAP,Algeria,Diapers and Wipes,Geographical Gap,%Not Covered,24%,
2023,MEANAP,Algeria,Diapers and Wipes,Oth.Chnls.,%Not Covered,1%,
2023,MEANAP,Algeria,Diapers and Wipes,Baby Str.,%Not Covered,1%,
2023,MEANAP,Algeria,Diapers and Wipes,Perfumeries,%Not Covered,1%,
2023,MEANAP,Algeria,Food & Snacks - Confectionary ,Medium Food Str.,%Covered,34%,
2023,MEANAP,Algeria,Food & Snacks - Confectionary ,Small Food Str.,%Covered,27%,
2023,MEANAP,Algeria,Food & Snacks - Confectionary ,Drugstores,%Covered,10%,
2023,MEANAP,Algeria,Food & Snacks - Confectionary ,Hypermrkts,%Covered,4%,
2023,MEANAP,Algeria,Food & Snacks - Confectionary ,Geographical Gap,%Not Covered,21%,
2023,MEANAP,Algeria,Food & Snacks - Confectionary ,Wholesalers,%Not Covered,2%,
2023,MEANAP,Algeria,Food & Snacks - Confectionary ,Oth.Chnls.,%Not Covered,1%,
2023,MEANAP,Algeria,Food & Snacks - Confectionary ,Kiosks,%Not Covered,1%,
2023,MEANAP,Algeria,Food - Shelf Stable,Medium Food Str.,%Covered,43%,
2023,MEANAP,Algeria,Food - Shelf Stable,Small Food Str.,%Covered,29%,
2023,MEANAP,Algeria,Food - Shelf Stable,Hypermrkts,%Covered,4%,
2023,MEANAP,Algeria,Food - Shelf Stable,Geographical Gap,%Not Covered,21%,
2023,MEANAP,Algeria,Food - Shelf Stable,Wholesalers,%Not Covered,2%,
2023,MEANAP,Algeria,Food - Shelf Stable,Oth.Chnls.,%Not Covered,1%,
2023,MEANAP,Algeria,Hot Drinks,Medium Food Str.,%Covered,37%,
2023,MEANAP,Algeria,Hot Drinks,Small Food Str.,%Covered,29%,
2023,MEANAP,Algeria,Hot Drinks,Hypermrkts,%Covered,5%,
2023,MEANAP,Algeria,Hot Drinks,Geographical Gap,%Not Covered,20%,
2023,MEANAP,Algeria,Hot Drinks,Restaurants/Hotels,%Not Covered,8%,
2023,MEANAP,Algeria,Hot Drinks,Wholesalers,%Not Covered,1%,
2023,MEANAP,Algeria,Household Care,Medium Food Str.,%Covered,40%,
2023,MEANAP,Algeria,Household Care,Small Food Str.,%Covered,28%,
2023,MEANAP,Algeria,Household Care,Hypermrkts,%Covered,5%,
2023,MEANAP,Algeria,Household Care,Geographical Gap,%Not Covered,22%,
2023,MEANAP,Algeria,Household Care,Oth.Cat.Spec.,%Not Covered,2%,
2023,MEANAP,Algeria,Household Care,Wholesalers,%Not Covered,2%,
2023,MEANAP,Algeria,Household Care,Drugstores,%Not Covered,1%,
2023,MEANAP,Algeria,Household Care,Oth.Chnls.,%Not Covered,1%,
2023,MEANAP,Algeria,Laundry Products,Medium Food Str.,%Covered,42%,
2023,MEANAP,Algeria,Laundry Products,Small Food Str.,%Covered,28%,
2023,MEANAP,Algeria,Laundry Products,Hypermrkts,%Covered,6%,
2023,MEANAP,Algeria,Laundry Products,Geographical Gap,%Not Covered,20%,
2023,MEANAP,Algeria,Laundry Products,Wholesalers,%Not Covered,3%,
2023,MEANAP,Algeria,Laundry Products,Oth.Cat.Spec.,%Not Covered,1%,
2023,MEANAP,Algeria,Laundry Products,Oth.Chnls.,%Not Covered,1%,
2023,MEANAP,Algeria,Personal Care,Drugstores,%Covered,40%,
2023,MEANAP,Algeria,Personal Care,Medium Food Str.,%Covered,13%,
2023,MEANAP,Algeria,Personal Care,Small Food Str.,%Covered,11%,
2023,MEANAP,Algeria,Personal Care,Pharmacies,%Covered,7%,
2023,MEANAP,Algeria,Personal Care,Hypermrkts,%Covered,2%,
2023,MEANAP,Algeria,Personal Care,Geographical Gap,%Not Covered,23%,
2023,MEANAP,Algeria,Personal Care,Oth.Chnls.,%Not Covered,3%,
2023,MEANAP,Algeria,Personal Care,Perfumeries,%Not Covered,2%,
2023,MEANAP,Algeria,RTD and Juices,Medium Food Str.,%Covered,32%,
2023,MEANAP,Algeria,RTD and Juices,Small Food Str.,%Covered,25%,
2023,MEANAP,Algeria,RTD and Juices,Restaurants/Hotels,%Covered,21%,
2023,MEANAP,Algeria,RTD and Juices,Hypermrkts,%Covered,2%,
2023,MEANAP,Algeria,RTD and Juices,Geographical Gap,%Not Covered,15%,
2023,MEANAP,Algeria,RTD and Juices,Drugstores,%Not Covered,1%,
2023,MEANAP,Algeria,RTD and Juices,Oth.Chnls.,%Not Covered,1%,
2023,MEANAP,Algeria,RTD and Juices,Wholesalers,%Not Covered,1%,
2023,MEANAP,Algeria,RTD and Juices,Oth.Spec.Food,%Not Covered,1%,
2023,MEANAP,Algeria,RTD and Juices,Kiosks,%Not Covered,1%,
2023,MEANAP,Algeria,Sports and Energy Drinks,Medium Food Str.,%Covered,24%,
2023,MEANAP,Algeria,Sports and Energy Drinks,Restaurants/Hotels,%Covered,23%,
2023,MEANAP,Algeria,Sports and Energy Drinks,Small Food Str.,%Covered,21%,
2023,MEANAP,Algeria,Sports and Energy Drinks,Other Horeca,%Covered,5%,
2023,MEANAP,Algeria,Sports and Energy Drinks,Hypermrkts,%Covered,1%,
2023,MEANAP,Algeria,Sports and Energy Drinks,Geographical Gap,%Not Covered,17%,
2023,MEANAP,Algeria,Sports and Energy Drinks,Wholesalers,%Not Covered,3%,
2023,MEANAP,Algeria,Sports and Energy Drinks,Oth.Spec.Food,%Not Covered,1%,
2023,MEANAP,Algeria,Sports and Energy Drinks,Oth.Chnls.,%Not Covered,1%,
2023,MEANAP,Algeria,Sports and Energy Drinks,Bars/Pubs/Cafes,%Not Covered,1%,
2023,MEANAP,Algeria,Sports and Energy Drinks,Drugstores,%Not Covered,1%,
2023,MEANAP,Algeria,Sports and Energy Drinks,Kiosks,%Not Covered,1%,
2023,MEANAP,Algeria,Total FMCG,Medium Food Str.,%Covered,37%,
2023,MEANAP,Algeria,Total FMCG,Small Food Str.,%Covered,26%,
2023,MEANAP,Algeria,Total FMCG,Hypermrkts,%Covered,4%,
2023,MEANAP,Algeria,Total FMCG,Pharmacies,%Covered,1%,
2023,MEANAP,Algeria,Total FMCG,Geographical Gap,%Not Covered,25%,
2023,MEANAP,Algeria,Total FMCG,Wholesalers,%Not Covered,7%,
2023,MEANAP,Algeria,Water,Medium Food Str.,%Covered,28%,
2023,MEANAP,Algeria,Water,Small Food Str.,%Covered,24%,
2023,MEANAP,Algeria,Water,Restaurants/Hotels,%Covered,20%,
2023,MEANAP,Algeria,Water,Hypermrkts,%Covered,2%,
2023,MEANAP,Algeria,Water,Geographical Gap,%Not Covered,21%,
2023,MEANAP,Algeria,Water,Oth.Chnls.,%Not Covered,2%,
2023,MEANAP,Algeria,Water,Wholesalers,%Not Covered,2%,
2023,MEANAP,Algeria,Water,Drugstores,%Not Covered,1%,
2023,MEANAP,Algeria,Water,Oth.Spec.Food,%Not Covered,1%,
2023,LATAM,Argentina,Baby Food,Hypermrkts,%Covered,30%,
2023,LATAM,Argentina,Baby Food,Superettes,%Covered,20%,
2023,LATAM,Argentina,Baby Food,Trad. Grocery Str.,%Covered,14%,
2023,LATAM,Argentina,Baby Food,Baby Str.,%Covered,1%,
2023,LATAM,Argentina,Baby Food,Wholesalers,%Not Covered,11%,
2023,LATAM,Argentina,Baby Food,Oth.Cat.Spec.,%Not Covered,5%,
2023,LATAM,Argentina,Baby Food,Baby Str.,%Not Covered,5%,
2023,LATAM,Argentina,Baby Food,Oth.Spec.Food,%Not Covered,5%,
2023,LATAM,Argentina,Baby Food,Oth.Chnls.,%Not Covered,3%,
2023,LATAM,Argentina,Baby Food,Geographical Gap,%Not Covered,3%,
2023,LATAM,Argentina,Baby Food,Schools,%Not Covered,3%,
2023,LATAM,Argentina,Batteries,Kiosks,%Covered,29%,
2023,LATAM,Argentina,Batteries,Trad. Grocery Str.,%Covered,25%,
2023,LATAM,Argentina,Batteries,Superettes,%Covered,18%,
2023,LATAM,Argentina,Batteries,Hypermrkts,%Covered,6%,
2023,LATAM,Argentina,Batteries,Pharmacies,%Covered,1%,
2023,LATAM,Argentina,Batteries,Perfumeries,%Covered,1%,
2023,LATAM,Argentina,Batteries,Gas Stations,%Covered,1%,
2023,LATAM,Argentina,Batteries,Street Vendors,%Not Covered,5%,
2023,LATAM,Argentina,Batteries,Wholesalers,%Not Covered,5%,
2023,LATAM,Argentina,Batteries,Oth.Cat.Spec.,%Not Covered,3%,
2023,LATAM,Argentina,Batteries,Geographical Gap,%Not Covered,2%,
2023,LATAM,Argentina,Batteries,Other Drugstr.,%Not Covered,1%,
2023,LATAM,Argentina,Batteries,Oth.Chnls.,%Not Covered,1%,
2023,LATAM,Argentina,Beer,Trad. Grocery Str.,%Covered,25%,
2023,LATAM,Argentina,Beer,Restaurants/Hotels,%Covered,13%,
2023,LATAM,Argentina,Beer,Hypermrkts,%Covered,12%,
2023,LATAM,Argentina,Beer,Kiosks,%Covered,10%,
2023,LATAM,Argentina,Beer,Superettes,%Covered,10%,
2023,LATAM,Argentina,Beer,Wholesalers,%Not Covered,9%,
2023,LATAM,Argentina,Beer,Bars/Pubs/Cafes,%Not Covered,5%,
2023,LATAM,Argentina,Beer,Disco.Night club,%Not Covered,5%,
2023,LATAM,Argentina,Beer,Geographical Gap,%Not Covered,3%,
2023,LATAM,Argentina,Beer,Oth.Spec.Food,%Not Covered,3%,
2023,LATAM,Argentina,Beer,Beverage Str.,%Not Covered,3%,
2023,LATAM,Argentina,Beer,Liquor/Wine/Beer,%Not Covered,3%,
2023,LATAM,Argentina,Beer,Street Vendors,%Not Covered,2%,
2023,LATAM,Argentina,Candies and Chewing Gums,Kiosks,%Covered,48%,
2023,LATAM,Argentina,Candies and Chewing Gums,Trad. Grocery Str.,%Covered,25%,
2023,LATAM,Argentina,Candies and Chewing Gums,Superettes,%Covered,5%,
2023,LATAM,Argentina,Candies and Chewing Gums,Hypermrkts,%Covered,4%,
2023,LATAM,Argentina,Candies and Chewing Gums,Wholesalers,%Not Covered,3%,
2023,LATAM,Argentina,Candies and Chewing Gums,Geographical Gap,%Not Covered,3%,
2023,LATAM,Argentina,Candies and Chewing Gums,Street Vendors,%Not Covered,3%,
2023,LATAM,Argentina,Candies and Chewing Gums,Oth.Chnls.,%Not Covered,3%,
2023,LATAM,Argentina,Candies and Chewing Gums,Oth.Gen.Str.,%Not Covered,2%,
2023,LATAM,Argentina,Candies and Chewing Gums,Open Markets,%Not Covered,1%,
2023,LATAM,Argentina,Candies and Chewing Gums,Bakeries/Pastry,%Not Covered,1%,
2023,LATAM,Argentina,Carbonated Soft Drinks,Trad. Grocery Str.,%Covered,41%,
2023,LATAM,Argentina,Carbonated Soft Drinks,Kiosks,%Covered,21%,
2023,LATAM,Argentina,Carbonated Soft Drinks,Hypermrkts,%Covered,17%,
2023,LATAM,Argentina,Carbonated Soft Drinks,Superettes,%Covered,8%,
2023,LATAM,Argentina,Carbonated Soft Drinks,Gas Stations,%Covered,2%,
2023,LATAM,Argentina,Carbonated Soft Drinks,Wholesalers,%Not Covered,2%,
2023,LATAM,Argentina,Carbonated Soft Drinks,Restaurants/Hotels,%Not Covered,2%,
2023,LATAM,Argentina,Carbonated Soft Drinks,Bars/Pubs/Cafes,%Not Covered,2%,
2023,LATAM,Argentina,Carbonated Soft Drinks,Street Vendors,%Not Covered,1%,
2023,LATAM,Argentina,Carbonated Soft Drinks,Oth.Chnls.,%Not Covered,1%,
2023,LATAM,Argentina,Carbonated Soft Drinks,Liquor/Wine/Beer,%Not Covered,1%,
2023,LATAM,Argentina,Carbonated Soft Drinks,Oth.Spec.Food,%Not Covered,1%,
2023,LATAM,Argentina,Carbonated Soft Drinks,Fast Food,%Not Covered,1%,
2023,LATAM,Argentina,Carbonated Soft Drinks,Oth.Cat.Spec.,%Not Covered,1%,
2023,LATAM,Argentina,Chocolates and Confectionery,Kiosks,%Covered,37%,
2023,LATAM,Argentina,Chocolates and Confectionery,Trad. Grocery Str.,%Covered,23%,
2023,LATAM,Argentina,Chocolates and Confectionery,Hypermrkts,%Covered,15%,
2023,LATAM,Argentina,Chocolates and Confectionery,Superettes,%Covered,9%,
2023,LATAM,Argentina,Chocolates and Confectionery,Gas Stations,%Covered,5%,
2023,LATAM,Argentina,Chocolates and Confectionery,Street Vendors,%Not Covered,3%,
2023,LATAM,Argentina,Chocolates and Confectionery,Wholesalers,%Not Covered,2%,
2023,LATAM,Argentina,Chocolates and Confectionery,Geographical Gap,%Not Covered,1%,
2023,LATAM,Argentina,Chocolates and Confectionery,Bakeries/Pastry,%Not Covered,1%,
2023,LATAM,Argentina,Chocolates and Confectionery,Oth.Chnls.,%Not Covered,1%,
2023,LATAM,Argentina,Chocolates and Confectionery,Schools,%Not Covered,1%,
2023,LATAM,Argentina,Cigarettes,Kiosks,%Covered,72%,
2023,LATAM,Argentina,Cigarettes,Trad. Grocery Str.,%Covered,13%,
2023,LATAM,Argentina,Cigarettes,Superettes,%Covered,4%,
2023,LATAM,Argentina,Cigarettes,Geographical Gap,%Not Covered,9%,
2023,LATAM,Argentina,Cigarettes,Oth.Chnls.,%Not Covered,1%,
2023,LATAM,Argentina,Cigarettes,Other Horeca,%Not Covered,1%,
2023,LATAM,Argentina,Cigarettes,Disco.Night club,%Not Covered,1%,
2023,LATAM,Argentina,Cigarettes,On Premise,%Not Covered,1%,
2023,LATAM,Argentina,Cosmetics and Fragrances,Hypermrkts,%Covered,29%,
2023,LATAM,Argentina,Cosmetics and Fragrances,Superettes,%Covered,16%,
2023,LATAM,Argentina,Cosmetics and Fragrances,Pharmacies,%Covered,15%,
2023,LATAM,Argentina,Cosmetics and Fragrances,Trad. Grocery Str.,%Covered,9%,
2023,LATAM,Argentina,Cosmetics and Fragrances,Perfumeries,%Covered,8%,
2023,LATAM,Argentina,Cosmetics and Fragrances,Kiosks,%Covered,4%,
2023,LATAM,Argentina,Cosmetics and Fragrances,Wholesalers,%Not Covered,11%,
2023,LATAM,Argentina,Cosmetics and Fragrances,Geographical Gap,%Not Covered,3%,
2023,LATAM,Argentina,Cosmetics and Fragrances,Baby Str.,%Not Covered,2%,
2023,LATAM,Argentina,Cosmetics and Fragrances,Other Drugstr.,%Not Covered,2%,
2023,LATAM,Argentina,Cosmetics and Fragrances,Oth.Chnls.,%Not Covered,1%,
2023,LATAM,Argentina,Cosmetics and Fragrances,Oth.Gen.Str.,%Not Covered,1%,
2023,LATAM,Argentina,Cosmetics and Fragrances,Hospitals,%Not Covered,1%,
2023,LATAM,Argentina,Cosmetics and Fragrances,Oth.Cat.Spec.,%Not Covered,1%,
2023,LATAM,Argentina,Diapers and Wipes,Hypermrkts,%Covered,28%,
2023,LATAM,Argentina,Diapers and Wipes,Baby Str.,%Covered,18%,
2023,LATAM,Argentina,Diapers and Wipes,Superettes,%Covered,9%,
2023,LATAM,Argentina,Diapers and Wipes,Pharmacies,%Covered,5%,
2023,LATAM,Argentina,Diapers and Wipes,Trad. Grocery Str.,%Covered,5%,
2023,LATAM,Argentina,Diapers and Wipes,Perfumeries,%Covered,4%,
2023,LATAM,Argentina,Diapers and Wipes,Kiosks,%Covered,2%,
2023,LATAM,Argentina,Diapers and Wipes,Wholesalers,%Not Covered,12%,
2023,LATAM,Argentina,Diapers and Wipes,Open Markets,%Not Covered,5%,
2023,LATAM,Argentina,Diapers and Wipes,Street Vendors,%Not Covered,4%,
2023,LATAM,Argentina,Diapers and Wipes,Geographical Gap,%Not Covered,3%,
2023,LATAM,Argentina,Diapers and Wipes,Oth.Cat.Spec.,%Not Covered,1%,
2023,LATAM,Argentina,Diapers and Wipes,Convenc. Str.,%Not Covered,1%,
2023,LATAM,Argentina,Diapers and Wipes,Other Drugstr.,%Not Covered,1%,
2023,LATAM,Argentina,Diapers and Wipes,Oth.Chnls.,%Not Covered,1%,
2023,LATAM,Argentina,Diapers and Wipes,Schools,%Not Covered,1%,
2023,LATAM,Argentina,Diapers and Wipes,Hospitals,%Not Covered,1%,
2023,LATAM,Argentina,Food - Shelf Stable,Hypermrkts,%Covered,43%,
2023,LATAM,Argentina,Food - Shelf Stable,Superettes,%Covered,25%,
2023,LATAM,Argentina,Food - Shelf Stable,Trad. Grocery Str.,%Covered,21%,
2023,LATAM,Argentina,Food - Shelf Stable,Wholesalers,%Not Covered,5%,
2023,LATAM,Argentina,Food - Shelf Stable,Geographical Gap,%Not Covered,2%,
2023,LATAM,Argentina,Food - Shelf Stable,Oth.Chnls.,%Not Covered,2%,
2023,LATAM,Argentina,Food - Shelf Stable,Kiosks,%Not Covered,1%,
2023,LATAM,Argentina,Food - Shelf Stable,Baby Str.,%Not Covered,1%,
2023,LATAM,Argentina,Hair Care,Hypermrkts,%Covered,28%,
2023,LATAM,Argentina,Hair Care,Superettes,%Covered,17%,
2023,LATAM,Argentina,Hair Care,Trad. Grocery Str.,%Covered,14%,
2023,LATAM,Argentina,Hair Care,Pharmacies,%Covered,8%,
2023,LATAM,Argentina,Hair Care,Perfumeries,%Covered,7%,
2023,LATAM,Argentina,Hair Care,Kiosks,%Covered,2%,
2023,LATAM,Argentina,Hair Care,Wholesalers,%Not Covered,9%,
2023,LATAM,Argentina,Hair Care,Oth.Chnls.,%Not Covered,7%,
2023,LATAM,Argentina,Hair Care,Geographical Gap,%Not Covered,4%,
2023,LATAM,Argentina,Hair Care,Other Drugstr.,%Not Covered,2%,
2023,LATAM,Argentina,Hair Care,Open Markets,%Not Covered,1%,
2023,LATAM,Argentina,Hair Care,Oth.Convnc.Str.,%Not Covered,1%,
2023,LATAM,Argentina,Hair Care,Hospitals,%Not Covered,1%,
2023,LATAM,Argentina,Hair Care,Oth.Cat.Spec.,%Not Covered,1%,
2023,LATAM,Argentina,Hair Care,Oth.Gen.Str.,%Not Covered,1%,
2023,LATAM,Argentina,Hot Drinks,Hypermrkts,%Covered,34%,
2023,LATAM,Argentina,Hot Drinks,Superettes,%Covered,26%,
2023,LATAM,Argentina,Hot Drinks,Trad. Grocery Str.,%Covered,19%,
2023,LATAM,Argentina,Hot Drinks,Wholesalers,%Not Covered,16%,
2023,LATAM,Argentina,Hot Drinks,Geographical Gap,%Not Covered,3%,
2023,LATAM,Argentina,Hot Drinks,Oth.Chnls.,%Not Covered,2%,
2023,LATAM,Argentina,Hot Drinks,Kiosks,%Not Covered,2%,
2023,LATAM,Argentina,Household Care,Hypermrkts,%Covered,32%,
2023,LATAM,Argentina,Household Care,Trad. Grocery Str.,%Covered,24%,
2023,LATAM,Argentina,Household Care,Superettes,%Covered,22%,
2023,LATAM,Argentina,Household Care,Perfumeries,%Covered,1%,
2023,LATAM,Argentina,Household Care,Wholesalers,%Not Covered,14%,
2023,LATAM,Argentina,Household Care,Oth.Chnls.,%Not Covered,4%,
2023,LATAM,Argentina,Household Care,Geographical Gap,%Not Covered,3%,
2023,LATAM,Argentina,Laundry Products,Hypermrkts,%Covered,30%,
2023,LATAM,Argentina,Laundry Products,Trad. Grocery Str.,%Covered,23%,
2023,LATAM,Argentina,Laundry Products,Superettes,%Covered,22%,
2023,LATAM,Argentina,Laundry Products,Perfumeries,%Covered,1%,
2023,LATAM,Argentina,Laundry Products,Wholesalers,%Not Covered,16%,
2023,LATAM,Argentina,Laundry Products,Geographical Gap,%Not Covered,4%,
2023,LATAM,Argentina,Laundry Products,Oth.Chnls.,%Not Covered,3%,
2023,LATAM,Argentina,Oral Care,Hypermrkts,%Covered,39%,
2023,LATAM,Argentina,Oral Care,Pharmacies,%Covered,18%,
2023,LATAM,Argentina,Oral Care,Superettes,%Covered,12%,
2023,LATAM,Argentina,Oral Care,Trad. Grocery Str.,%Covered,8%,
2023,LATAM,Argentina,Oral Care,Perfumeries,%Covered,5%,
2023,LATAM,Argentina,Oral Care,Kiosks,%Covered,1%,
2023,LATAM,Argentina,Oral Care,Kiosks,%Not Covered,4%,
2023,LATAM,Argentina,Oral Care,Oth.Chnls.,%Not Covered,3%,
2023,LATAM,Argentina,Oral Care,Wholesalers,%Not Covered,3%,
2023,LATAM,Argentina,Oral Care,Geographical Gap,%Not Covered,3%,
2023,LATAM,Argentina,Oral Care,Convenc. Str.,%Not Covered,2%,
2023,LATAM,Argentina,Oral Care,Baby Str.,%Not Covered,1%,
2023,LATAM,Argentina,Oral Care,Schools,%Not Covered,1%,
2023,LATAM,Argentina,Oral Care,Other Drugstr.,%Not Covered,1%,
2023,LATAM,Argentina,Oral Care,Oth.Gen.Str.,%Not Covered,1%,
2023,LATAM,Argentina,Oral Care,Street Vendors,%Not Covered,1%,
2023,LATAM,Argentina,Paper Products,Hypermrkts,%Covered,33%,
2023,LATAM,Argentina,Paper Products,Superettes,%Covered,22%,
2023,LATAM,Argentina,Paper Products,Trad. Grocery Str.,%Covered,21%,
2023,LATAM,Argentina,Paper Products,Wholesalers,%Not Covered,10%,
2023,LATAM,Argentina,Paper Products,Geographical Gap,%Not Covered,3%,
2023,LATAM,Argentina,Paper Products,Oth.Chnls.,%Not Covered,3%,
2023,LATAM,Argentina,Paper Products,Pharmacies,%Not Covered,1%,
2023,LATAM,Argentina,Paper Products,Schools,%Not Covered,1%,
2023,LATAM,Argentina,Paper Products,Institutional Sales,%Not Covered,1%,
2023,LATAM,Argentina,Paper Products,Restaurants/Hotels,%Not Covered,1%,
2023,LATAM,Argentina,Paper Products,Kiosks,%Not Covered,1%,
2023,LATAM,Argentina,Paper Products,Hospitals,%Not Covered,1%,
2023,LATAM,Argentina,Personal Care,Hypermrkts,%Covered,29%,
2023,LATAM,Argentina,Personal Care,Superettes,%Covered,18%,
2023,LATAM,Argentina,Personal Care,Pharmacies,%Covered,15%,
2023,LATAM,Argentina,Personal Care,Trad. Grocery Str.,%Covered,10%,
2023,LATAM,Argentina,Personal Care,Perfumeries,%Covered,8%,
2023,LATAM,Argentina,Personal Care,Kiosks,%Covered,2%,
2023,LATAM,Argentina,Personal Care,Wholesalers,%Not Covered,10%,
2023,LATAM,Argentina,Personal Care,Oth.Gen.Str.,%Not Covered,3%,
2023,LATAM,Argentina,Personal Care,Geographical Gap,%Not Covered,3%,
2023,LATAM,Argentina,Personal Care,Oth.Chnls.,%Not Covered,2%,
2023,LATAM,Argentina,Personal Care,Baby Str.,%Not Covered,2%,
2023,LATAM,Argentina,Personal Care,Other Drugstr.,%Not Covered,1%,
2023,LATAM,Argentina,RTD and Juices,Trad. Grocery Str.,%Covered,34%,
2023,LATAM,Argentina,RTD and Juices,Kiosks,%Covered,27%,
2023,LATAM,Argentina,RTD and Juices,Superettes,%Covered,14%,
2023,LATAM,Argentina,RTD and Juices,Hypermrkts,%Covered,13%,
2023,LATAM,Argentina,RTD and Juices,Gas Stations,%Covered,3%,
2023,LATAM,Argentina,RTD and Juices,Oth.Chnls.,%Not Covered,3%,
2023,LATAM,Argentina,RTD and Juices,Oth.Spec.Food,%Not Covered,1%,
2023,LATAM,Argentina,RTD and Juices,Restaurants/Hotels,%Not Covered,1%,
2023,LATAM,Argentina,RTD and Juices,Beverage Str.,%Not Covered,1%,
2023,LATAM,Argentina,RTD and Juices,Wholesalers,%Not Covered,1%,
2023,LATAM,Argentina,RTD and Juices,Geographical Gap,%Not Covered,1%,
2023,LATAM,Argentina,RTD and Juices,Street Vendors,%Not Covered,1%,
2023,LATAM,Argentina,Salty Snacks,Trad. Grocery Str.,%Covered,37%,
2023,LATAM,Argentina,Salty Snacks,Kiosks,%Covered,27%,
2023,LATAM,Argentina,Salty Snacks,Superettes,%Covered,17%,
2023,LATAM,Argentina,Salty Snacks,Hypermrkts,%Covered,4%,
2023,LATAM,Argentina,Salty Snacks,Wholesalers,%Not Covered,5%,
2023,LATAM,Argentina,Salty Snacks,Geographical Gap,%Not Covered,3%,
2023,LATAM,Argentina,Salty Snacks,Oth.Gen.Str.,%Not Covered,3%,
2023,LATAM,Argentina,Salty Snacks,Street Vendors,%Not Covered,3%,
2023,LATAM,Argentina,Salty Snacks,Oth.Chnls.,%Not Covered,2%,
2023,LATAM,Argentina,Salty Snacks,Open Markets,%Not Covered,1%,
2023,LATAM,Argentina,Skin Care,Hypermrkts,%Covered,44%,
2023,LATAM,Argentina,Skin Care,Superettes,%Covered,16%,
2023,LATAM,Argentina,Skin Care,Trad. Grocery Str.,%Covered,8%,
2023,LATAM,Argentina,Skin Care,Pharmacies,%Covered,5%,
2023,LATAM,Argentina,Skin Care,Perfumeries,%Covered,3%,
2023,LATAM,Argentina,Skin Care,Kiosks,%Covered,1%,
2023,LATAM,Argentina,Skin Care,Oth.Chnls.,%Not Covered,5%,
2023,LATAM,Argentina,Skin Care,Wholesalers,%Not Covered,5%,
